timestamp_ms,emg_adc,emg_rms,flex_thumb,flex_index,flex_middle,flex_ring,flex_pinky,fsr_thumb,fsr_index,fsr_middle,spike_rate,membrane_potential,servo_angle,gesture_class,gesture_id
1450,578,0.565,558,803,668,768,544,168,132,121,0,0.14,92,1,1
1460,526,0.514,632,734,544,813,748,194,110,102,0,0.026,71,1,1
1470,626,0.612,657,538,581,757,705,156,172,91,1,0.159,68,1,1
1480,532,0.52,545,654,612,732,516,183,174,177,0,0.002,89,1,1
1490,628,0.614,662,825,573,732,723,177,142,107,1,0.156,89,1,1
1500,556,0.543,777,695,741,823,718,143,96,91,0,0.142,51,1,1
1510,637,0.623,692,521,619,709,805,93,143,126,1,0.209,58,1,1
1520,644,0.63,506,528,532,633,578,111,130,154,1,0.12,87,1,1
1530,548,0.536,503,598,538,770,784,108,154,195,0,0.016,61,1,1
1540,603,0.589,521,526,694,836,735,135,171,172,0,0.182,50,1,1
1550,620,0.606,583,761,646,756,557,117,94,113,0,0.04,90,1,1
1560,544,0.532,779,511,773,770,707,106,151,139,0,0.041,75,1,1
1570,612,0.598,808,507,578,526,673,129,195,150,0,0.159,32,1,1
1580,543,0.531,815,545,514,652,721,157,150,96,0,0.086,113,1,1
1590,582,0.569,713,616,843,571,563,156,160,151,0,0.014,50,1,1
1600,583,0.57,837,594,665,531,510,124,168,112,0,0.008,70,1,1
1610,607,0.593,540,575,545,659,579,133,165,171,0,0.069,49,1,1
1620,616,0.602,501,724,788,732,576,195,105,101,0,0.195,95,1,1
1630,609,0.595,673,621,642,605,804,183,154,140,0,0.179,96,1,1
1640,528,0.516,761,572,722,540,703,87,151,129,0,0.157,91,1,1
1650,630,0.616,750,506,583,707,813,101,105,82,1,0.153,70,1,1
1660,533,0.521,511,586,511,524,800,194,98,134,0,0.036,74,1,1
1670,638,0.624,808,682,787,806,799,161,149,97,1,0.166,112,1,1
1680,615,0.601,811,558,630,701,742,114,140,172,0,0.006,83,1,1
1690,616,0.602,831,804,849,712,658,137,140,103,0,0.126,49,1,1
1700,627,0.613,519,651,549,676,595,184,115,196,1,0.24,95,1,1
1710,525,0.513,794,742,685,745,624,91,82,188,0,0.126,47,1,1
1720,618,0.604,781,507,599,739,586,121,123,93,0,0.103,107,1,1
1730,556,0.543,824,540,817,815,610,93,199,182,0,0.133,118,1,1
1740,589,0.576,644,844,527,565,662,180,84,144,0,0.12,69,1,1
1750,564,0.551,802,786,509,694,617,93,159,153,0,0.134,39,1,1
1760,624,0.61,756,632,775,763,670,155,80,136,0,0.072,93,1,1
1770,547,0.535,620,606,674,703,664,128,192,199,0,0.089,73,1,1
1780,630,0.616,706,607,750,833,629,152,116,99,1,0.128,55,1,1
1790,638,0.624,534,697,744,558,824,112,192,130,1,0.258,107,1,1
1800,539,0.527,680,741,715,750,798,177,168,129,0,0.174,58,1,1
1810,557,0.544,839,650,625,800,807,159,129,185,0,0.194,37,1,1
1820,648,0.633,763,656,504,585,674,113,144,134,1,0.195,119,1,1
1830,633,0.619,644,525,635,802,731,192,155,170,1,0.279,101,1,1
1840,552,0.54,500,646,786,641,552,127,148,184,0,0.07,119,1,1
1850,582,0.569,572,660,668,588,675,92,152,196,0,0.058,106,1,1
1860,587,0.574,597,601,631,601,518,149,177,161,0,0.16,42,1,1
1870,602,0.588,830,628,843,809,588,164,94,144,0,0.122,105,1,1
1880,579,0.566,592,804,723,790,601,169,90,178,0,0.134,101,1,1
1890,593,0.58,764,502,584,781,827,127,145,149,0,0.005,57,1,1
1900,531,0.519,632,803,792,799,727,94,122,127,0,0.163,116,1,1
1910,627,0.613,520,606,835,802,616,94,104,115,1,0.196,104,1,1
1920,587,0.574,776,640,774,789,833,147,191,196,0,0.134,81,1,1
1930,554,0.542,635,643,605,657,645,81,128,156,0,0.165,33,1,1
1940,613,0.599,762,607,573,538,658,150,142,135,0,0.037,71,1,1
1950,555,0.543,583,762,809,671,672,185,126,92,0,0.164,51,1,1
1960,545,0.533,508,770,509,620,624,121,151,103,0,0.111,109,1,1
1970,610,0.596,792,567,549,651,518,179,139,118,0,0.162,103,1,1
1980,588,0.575,674,548,607,725,660,198,100,160,0,0.005,51,1,1
1990,530,0.518,637,577,576,753,757,143,114,86,0,0.135,114,1,1
2000,561,0.548,624,666,740,779,687,125,98,147,0,0.067,119,2,2
2010,551,0.539,666,608,535,731,728,176,115,82,0,0.065,102,2,2
2020,642,0.628,569,695,768,548,815,81,139,84,1,0.167,73,2,2
2030,527,0.515,729,699,549,566,799,137,82,165,0,0.01,99,2,2
2040,521,0.509,601,708,790,785,615,87,101,123,0,0.192,87,2,2
2050,596,0.583,786,802,810,707,605,141,109,134,0,0.0,45,2,2
2060,522,0.51,643,529,736,778,847,194,183,197,0,0.147,34,2,2
2070,627,0.613,820,620,785,648,583,149,101,161,1,0.271,101,2,2
2080,535,0.523,537,725,641,791,650,193,188,145,0,0.069,114,2,2
2090,594,0.581,822,679,689,653,695,161,134,85,0,0.157,64,2,2
2100,605,0.591,815,600,743,511,738,128,121,117,0,0.126,111,2,2
2110,586,0.573,835,506,513,572,662,145,170,81,0,0.069,64,2,2
2120,539,0.527,755,765,524,780,752,133,112,115,0,0.028,43,2,2
2130,599,0.586,809,737,524,640,616,177,87,100,0,0.027,97,2,2
2140,587,0.574,672,511,787,627,595,171,92,110,0,0.175,107,2,2
2150,579,0.566,659,848,542,753,629,139,102,162,0,0.012,60,2,2
2160,529,0.517,844,629,766,677,752,110,135,158,0,0.086,102,2,2
2170,618,0.604,648,828,655,689,762,159,95,176,0,0.127,33,2,2
2180,559,0.546,772,600,807,720,807,115,117,182,0,0.026,79,2,2
2190,635,0.621,690,561,755,506,654,171,165,93,1,0.267,100,2,2
2200,605,0.591,632,682,561,718,745,181,158,100,0,0.136,39,2,2
2210,639,0.625,564,512,712,741,712,132,161,180,1,0.129,74,2,2
2220,571,0.558,755,682,616,781,695,113,131,191,0,0.095,111,2,2
2230,561,0.548,520,541,612,604,691,96,199,88,0,0.138,70,2,2
2240,579,0.566,547,528,596,509,741,137,139,183,0,0.165,50,2,2
2250,553,0.541,763,713,699,578,842,167,124,162,0,0.147,98,2,2
2260,606,0.592,600,507,832,699,586,122,80,188,0,0.014,80,2,2
2270,536,0.524,632,647,776,731,813,110,189,179,0,0.194,40,2,2
2280,547,0.535,550,760,760,849,507,143,89,117,0,0.059,110,2,2
2290,623,0.609,828,548,791,823,577,184,120,168,0,0.179,91,2,2
2300,529,0.517,648,663,639,846,757,197,92,132,0,0.15,61,2,2
2310,551,0.539,787,725,510,509,770,96,119,97,0,0.019,84,2,2
2320,578,0.565,833,623,613,777,712,123,111,130,0,0.003,75,2,2
2330,641,0.627,531,721,618,538,767,184,126,97,1,0.271,50,2,2
2340,645,0.63,801,737,634,650,735,175,154,165,1,0.317,51,2,2
2350,541,0.529,847,784,768,757,528,164,158,131,0,0.193,56,2,2
2360,607,0.593,543,777,670,688,683,82,142,197,0,0.03,48,2,2
2370,549,0.537,794,607,780,627,728,190,87,185,0,0.002,87,2,2
2380,648,0.633,760,502,603,723,819,185,177,186,1,0.231,118,2,2
2390,647,0.632,801,730,718,565,611,92,88,195,1,0.121,65,2,2
2400,609,0.595,813,553,511,708,513,113,132,99,0,0.151,104,2,2
2410,589,0.576,811,710,600,685,631,190,83,99,0,0.177,39,2,2
2420,556,0.543,729,809,701,537,759,139,136,124,0,0.08,49,2,2
2430,590,0.577,503,720,513,502,715,180,159,137,0,0.141,84,2,2
2440,639,0.625,753,523,661,657,581,98,110,139,1,0.184,89,2,2
2450,582,0.569,710,651,608,575,529,137,181,196,0,0.165,60,2,2
2460,538,0.526,672,727,849,682,612,134,176,97,0,0.044,92,2,2
2470,566,0.553,812,617,800,660,697,83,99,191,0,0.024,76,2,2
2480,566,0.553,577,623,574,636,589,95,148,195,0,0.196,90,2,2
2490,522,0.51,606,612,849,753,617,188,149,160,0,0.188,80,2,2
2500,554,0.542,801,568,848,819,548,100,153,143,0,0.141,34,2,2
2510,609,0.595,759,625,730,794,628,103,136,179,0,0.011,99,2,2
2520,579,0.566,687,556,530,583,651,168,115,164,0,0.057,59,2,2
2530,625,0.611,841,719,662,719,769,199,89,159,1,0.272,45,2,2
2540,625,0.611,716,704,569,543,828,124,179,135,1,0.244,113,2,2
2550,626,0.612,520,695,677,506,569,94,161,111,1,0.313,104,2,2
2560,639,0.625,641,812,664,813,520,161,148,82,1,0.16,116,2,2
2570,568,0.555,844,840,660,677,616,147,185,150,0,0.112,115,2,2
2580,600,0.587,651,560,560,527,542,120,118,165,0,0.109,78,2,2
2590,617,0.603,564,829,840,504,501,101,191,136,0,0.02,95,2,2
2600,631,0.617,624,666,585,575,843,190,119,117,1,0.191,89,2,2
2610,618,0.604,691,742,818,548,531,86,100,99,0,0.066,55,2,2
2620,629,0.615,713,642,731,712,578,165,195,171,1,0.168,43,2,2
2630,577,0.564,783,525,565,747,753,82,151,123,0,0.1,71,2,2
2640,525,0.513,666,778,588,677,696,130,90,199,0,0.105,41,2,2
2650,560,0.547,663,584,571,554,546,94,127,189,0,0.032,111,2,2
2660,531,0.519,762,835,758,782,613,186,119,181,0,0.12,62,2,2
2670,527,0.515,600,675,606,600,759,173,149,189,0,0.176,48,2,2
2680,531,0.519,801,515,628,562,608,198,196,100,0,0.127,59,2,2
2690,523,0.511,601,722,558,746,627,106,148,104,0,0.105,32,2,2
2700,544,0.532,653,632,726,688,764,195,181,129,0,0.142,35,2,2
2710,640,0.626,712,715,725,630,575,171,109,169,1,0.143,50,2,2
2720,553,0.541,540,806,837,813,574,136,102,127,0,0.148,51,2,2
2730,627,0.613,638,849,770,846,788,163,95,113,1,0.183,95,2,2
2740,566,0.553,700,647,623,500,746,166,142,146,0,0.173,33,2,2
2750,566,0.553,793,642,690,520,726,136,196,132,0,0.152,75,2,2
2760,558,0.545,751,832,706,709,614,176,85,170,0,0.034,52,2,2
2770,617,0.603,545,537,641,599,827,141,114,98,0,0.16,59,2,2
2780,603,0.589,780,843,769,653,601,166,101,127,0,0.195,112,2,2
2790,538,0.526,700,783,672,826,705,142,152,198,0,0.175,48,2,2
2800,639,0.625,816,663,785,764,819,112,199,131,1,0.285,118,2,2
2810,572,0.559,726,833,721,540,695,147,171,87,0,0.134,31,2,2
2820,629,0.615,585,619,626,754,682,95,172,141,1,0.127,77,2,2
2830,554,0.542,766,563,549,754,648,148,127,99,0,0.098,96,2,2
2840,587,0.574,534,715,564,507,800,166,126,119,0,0.182,105,2,2
2850,566,0.553,514,646,525,807,592,101,183,100,0,0.089,80,2,2
2860,574,0.561,847,527,759,575,566,165,187,145,0,0.12,117,2,2
2870,624,0.61,756,571,586,761,713,104,161,96,0,0.094,90,2,2
2880,546,0.534,635,592,608,740,641,114,127,188,0,0.041,113,2,2
2890,568,0.555,801,689,635,542,589,118,164,196,0,0.044,78,2,2
2900,625,0.611,809,732,764,843,536,128,120,96,1,0.226,117,2,2
2910,578,0.565,682,540,538,691,766,189,98,90,0,0.186,106,2,2
2920,564,0.551,500,667,607,518,831,151,151,140,0,0.135,41,2,2
2930,564,0.551,589,602,749,507,652,170,125,166,0,0.052,59,2,2
2940,603,0.589,837,645,823,660,626,115,161,180,0,0.119,48,2,2
2950,603,0.589,612,724,831,742,642,120,118,81,0,0.129,92,2,2
2960,570,0.557,830,765,709,550,617,152,118,107,0,0.145,32,2,2
2970,636,0.622,501,592,665,849,795,81,160,120,1,0.179,41,2,2
2980,584,0.571,810,800,712,561,548,174,104,102,0,0.13,53,2,2
2990,547,0.535,776,606,645,598,572,132,181,109,0,0.045,89,2,2
3000,551,0.539,694,655,671,834,540,142,102,183,0,0.116,104,2,2
3010,576,0.563,617,599,666,789,655,116,86,147,0,0.178,66,2,2
3020,566,0.553,647,774,656,701,625,90,128,192,0,0.169,67,2,2
3030,635,0.621,703,820,530,612,824,109,199,167,1,0.226,88,2,2
3040,564,0.551,759,653,654,733,550,129,85,138,0,0.098,44,2,2
3050,641,0.627,624,536,669,623,534,166,85,147,1,0.285,47,2,2
3060,632,0.618,784,576,558,625,608,175,191,101,1,0.316,97,2,2
3070,568,0.555,661,841,808,842,541,177,111,188,0,0.035,80,2,2
3080,604,0.59,520,799,638,823,591,142,103,178,0,0.125,42,2,2
3090,536,0.524,598,751,837,603,713,103,98,116,0,0.03,114,2,2
3100,524,0.512,644,600,663,646,563,170,196,177,0,0.071,40,2,2
3110,566,0.553,639,745,648,745,504,160,135,99,0,0.175,70,2,2
3120,531,0.519,569,516,646,653,803,187,187,131,0,0.118,99,2,2
3130,621,0.607,574,715,702,691,748,194,193,160,0,0.179,80,2,2
3140,601,0.587,591,674,738,759,662,127,152,151,0,0.088,74,2,2
3150,632,0.618,724,827,646,562,793,146,138,148,1,0.314,42,2,2
3160,550,0.538,707,613,521,848,713,122,146,133,0,0.027,39,2,2
3170,645,0.63,776,703,693,668,651,114,135,109,1,0.279,86,2,2
3180,538,0.526,763,781,612,826,529,86,146,144,0,0.167,65,2,2
3190,520,0.508,536,640,731,635,687,152,80,115,0,0.123,64,2,2
3200,623,0.609,522,764,789,759,574,178,151,82,0,0.162,43,2,2
3210,553,0.541,544,560,582,622,515,145,119,96,0,0.159,63,2,2
3220,621,0.607,687,821,512,683,610,110,113,118,0,0.161,96,2,2
3230,639,0.625,554,526,617,720,730,132,118,144,1,0.248,46,2,2
3240,532,0.52,520,552,774,812,780,165,110,160,0,0.101,84,2,2
3250,593,0.58,509,553,551,647,659,193,93,129,0,0.047,57,2,2
3260,572,0.559,834,521,529,690,759,156,138,166,0,0.054,37,2,2
3270,638,0.624,789,837,747,626,574,184,155,128,1,0.141,108,2,2
3280,612,0.598,653,773,595,713,793,160,166,167,0,0.093,79,2,2
3290,588,0.575,819,656,655,638,620,144,186,98,0,0.169,38,2,2
3300,619,0.605,837,806,640,582,676,149,191,135,0,0.135,105,2,2
3310,579,0.566,716,619,674,522,712,100,186,92,0,0.056,62,2,2
3320,530,0.518,772,780,593,700,520,163,162,162,0,0.2,41,2,2
3330,620,0.606,803,527,540,802,645,157,178,187,0,0.154,100,2,2
3340,619,0.605,530,515,636,828,665,154,133,135,0,0.043,115,2,2
3350,628,0.614,842,672,736,661,715,87,86,115,1,0.267,47,2,2
3360,589,0.576,648,527,809,564,520,186,178,92,0,0.165,86,2,2
3370,573,0.56,637,552,543,802,552,153,125,92,0,0.182,66,2,2
3380,521,0.509,836,637,662,610,601,96,91,133,0,0.145,53,2,2
3390,641,0.627,687,845,729,820,839,198,107,95,1,0.164,76,2,2
3400,611,0.597,685,782,680,669,686,126,173,184,0,0.036,63,2,2
3410,552,0.54,554,506,743,812,625,91,95,159,0,0.133,72,2,2
3420,630,0.616,806,659,830,763,724,166,168,199,1,0.161,101,2,2
3430,578,0.565,631,603,694,656,597,177,107,156,0,0.012,108,2,2
3440,523,0.511,589,603,618,632,811,175,163,129,0,0.193,104,2,2
3450,547,0.535,777,732,516,558,589,187,150,185,0,0.124,86,2,2
3460,564,0.551,838,766,680,567,820,128,126,131,0,0.145,117,2,2
3470,576,0.563,546,658,673,741,781,192,193,84,0,0.126,113,2,2
3480,573,0.56,660,725,514,723,560,100,125,148,0,0.055,35,2,2
3490,605,0.591,709,577,701,801,722,173,82,173,0,0.089,35,2,2
3500,627,0.613,660,708,739,830,832,129,90,174,1,0.252,57,2,2
3510,535,0.523,567,751,547,683,819,138,169,141,0,0.052,105,2,2
3520,608,0.594,773,518,810,653,759,187,194,108,0,0.071,88,2,2
3530,536,0.524,606,798,744,835,746,87,92,185,0,0.155,37,2,2
3540,613,0.599,820,538,580,686,583,167,193,165,0,0.121,115,2,2
3550,593,0.58,535,600,655,754,670,164,167,121,0,0.103,95,2,2
3560,610,0.596,777,600,654,848,640,124,89,179,0,0.031,38,2,2
3570,553,0.541,628,659,588,592,826,192,146,163,0,0.151,49,2,2
3580,618,0.604,612,590,845,705,516,97,124,195,0,0.115,113,2,2
3590,601,0.587,823,613,756,557,653,188,99,195,0,0.101,116,2,2
3600,560,0.547,604,692,777,736,720,147,148,90,0,0.116,85,2,2
3610,618,0.604,575,781,608,687,698,126,198,150,0,0.179,55,2,2
3620,542,0.53,583,741,615,608,720,87,120,191,0,0.119,48,2,2
3630,565,0.552,823,770,694,779,782,119,142,140,0,0.139,65,2,2
3640,543,0.531,523,503,822,789,680,199,195,102,0,0.078,98,2,2
3650,581,0.568,668,812,748,687,553,149,180,136,0,0.04,39,2,2
3660,622,0.608,584,816,711,502,678,165,126,147,0,0.045,105,2,2
3670,606,0.592,813,805,529,689,524,191,106,130,0,0.025,107,2,2
3680,642,0.628,546,727,538,515,521,164,133,100,1,0.252,101,2,2
3690,578,0.565,786,701,531,661,754,88,160,90,0,0.096,39,2,2
3700,536,0.524,823,547,610,652,622,100,180,181,0,0.142,94,2,2
3710,570,0.557,791,580,587,693,603,94,175,118,0,0.184,99,2,2
3720,641,0.627,666,625,812,580,750,120,172,152,1,0.163,42,2,2
3730,603,0.589,807,744,502,836,562,128,155,191,0,0.087,76,2,2
3740,584,0.571,836,770,599,531,627,147,97,192,0,0.156,112,2,2
